input,target
generar pseudolatex: Polinomio de grado 5 incompleto con 5 términos,- VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR
"generar pseudolatex: Es un polinomio completo, ordenado, con constantes complejas, y octavo grado",- VC.x^{2} - VC - VC.x^{8} - VC.x^{4} - VC.x^{5} - VC.x - VC.x^{7} - VC.x^{6} - VC.x^{3}
generar pseudolatex: Polinomio completo de grado siete con todos sus coeficientes decimales negativos. El polinomio está ordenado en orden descendente,- VDx^{7} - VDx^{6} - VDx^{5} - VDx^{4} - VDx^{3} - VDx^{2} - VDx - VD
"generar pseudolatex: Polinomio en variable ""y"" de décimo grado, incompleto, con 6 términos",- VNy^{3} - VC + VC.y^{6} - VNy^{10} - VNy^{5} - VNy
"generar pseudolatex: Sistema de dos ecuaciones, con cuatro variables",\begin{cases} VN.b + VF.d + VF.a - VN.c = VF \\- VN.d - VN.a + VN.c - VF.b = VF \end{cases}
"generar pseudolatex: polinomio de grado 3, completo, con coeficiente principal 25.8, con 4 términos",- VD + VDx - VDx^{2} + VDx^{3}
generar pseudolatex: Polinomio de quinto grado completo con coeficiente principal -5,- VNx^{5} - VNx^{4} + VNx^{3} - VNx^{2} + VNx - VN
"generar pseudolatex: Polinomio con coeficientes fraccionarios negativos de grado 7, completo",- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5} - VRx^{6} - VRx^{7}
"generar pseudolatex: Es un sistema de ecuaciones de dos ecuaciones y tres incógnitas, el cual constituye un sistema compatible indeterminado",\begin{cases} VN.z = VF \\VN.z + VF.x + VN.y = VN \end{cases}
"generar pseudolatex: Es un polinomio, de  9 términos, con grado 8, completo, y con constantes que acompañan a las variables, pertenecientes a los complejos",- VC - VC.x - VC.x^{2} - VC.x^{3} - VC.x^{4} - VC.x^{5} - VC.x^{6} - VC.x^{7} - VC.x^{8}
generar pseudolatex: Polinomio de grado 1 completo con coeficientes negativos,- VR - VRx
