input,target
"generar lista: un polinomio de siete términos, de grado 6, completo, ordenado, con constantes racionales",SUM VF MUL VF x E MUL VF POW x 2 E MUL VF POW x 3 E MUL VF POW x 4 E NEG MUL VF POW x 5 E MUL VF POW x 6 E E
"generar pseudolatex: Polinomio de noveno grado, incompleto y desordenado  Coeficiente enteros e imaginarios",- VC.z^{4} - VNz^{8} + VC.z^{6} - VNz^{9} + VN
generar pseudolatex: sistema de 3 ecuaciones con cuatro variables en la cual no están ordenadas respectivamente cada una de ellas,\begin{cases} VF.d + VF.a + VN.b - VN.c = VN \\VN.d + VN.a - VN.b + VF.c = VN \\- VN.d + VF.a - VN.b - VF.c = VN \end{cases}
"generar lista: Sistema de 4 ecuaciones completo con 4 incógnitas a,b,c y d. Las ecuaciones se distribuyen a ambos lados de la igualdad",CASES EQ SUM MUL VN c E E SUM MUL VN d E MUL VF b E NEG MUL VN a E VN E EQ SUM NEG MUL VN a E E SUM NEG MUL VF c E MUL VN b E NEG MUL VF d E VF E EQ SUM MUL VF a E MUL VN d E E SUM MUL VF c E MUL VN b E VF E EQ SUM NEG MUL VN c E E SUM MUL VN b E MUL VN a E NEG MUL VF d E VN E E
"generar pseudolatex: polinomio de grado 3, completo, con coeficiente principal 25.8, con 4 términos",- VD + VDx - VDx^{2} + VDx^{3}
generar lista: Polinomio completo de grado uno con coeficientes negativos,SUM NEG VN NEG MUL VN x E E
"generar lista: un polinomio de 7 términos completo, de grado 6 siendo las constantes que acompañan a las variables números naturales",SUM MUL VN POW x 4 E VN MUL VN x E MUL VN POW x 3 E MUL VN POW x 6 E MUL VN POW x 5 E MUL VN POW x 2 E E
generar pseudolatex: Polinomio de de cuarto grado con solo término principal e independiente. El término independiente es negativo y complejo,- VC + VNz^{4}
"generar lista: Polinomio de 3er grado, completo, ordenado en forma ascendente y coeficientes complejos con solo parte imaginaria",SUM VC MUL VC x E NEG MUL VC POW x 2 E MUL VC POW x 3 E E
generar lista: Polinomio complejo de grado 15 incompleto,SUM VN NEG MUL VC POW y 2 E NEG MUL VN POW y 7 E NEG MUL VN POW y 15 E NEG MUL VN POW y 5 E MUL VC POW y 6 E MUL VN POW y 13 E MUL VF POW y 8 E NEG MUL VC POW y 11 E MUL VN POW y 3 E E
generar lista: Polinomio de sexto grado con variable X,SUM NEG MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E
generar pseudolatex: Polinomio de grado cuatro incompleto. Posee números complejos en sus tres componentes.,- VC.y + VC.y^{3} - VC.y^{4}
"generar lista: Polinomio completo de grado 3, con cuatro términos",SUM NEG VF NEG MUL VF x E NEG MUL VF POW x 2 E NEG MUL VF POW x 3 E E
generar lista: Polinomio de grado diez incompleto,SUM NEG MUL VN POW x 10 E NEG MUL VN POW x 8 E NEG MUL VN POW x 7 E NEG MUL VN POW x 3 E NEG VF E
generar pseudolatex: Polinomio de grado 14,VFy^{14} - VC.y^{9} - VNy^{2}
generar lista: Sistema de tres ecuaciones y tres variables. El sistema es completo y en desorden. Todos los coeficientes de las x son positivos,CASES EQ SUM NEG MUL VN y E MUL VF x E MUL VF z E E VN EQ SUM NEG MUL VF z E MUL VF x E MUL VN y E E VF EQ SUM NEG MUL VF y E NEG MUL VN z E MUL VN x E E VN E
generar lista: Polinomio fraccionario de grado 6 completo,SUM MUL VR POW x 6 E MUL VR POW x 4 E MUL VR POW x 5 E NEG VR MUL VR POW x 3 E NEG MUL VR POW x 2 E MUL VR x E E
generar pseudolatex: Sistema de ecuaciones con dos incógnitas,\begin{cases} - VN.x - VF.y = VN \\- VF.y - VN.x = VN \end{cases}
generar pseudolatex: Polinomio incompleto de grado 10 con tres terminos,VNy^{9} + VFy^{10} - VFy^{7}
generar pseudolatex: Polinomio completo de grado 5,VDx^{5} + VDx^{4} + VDx^{3} + VDx^{2} + VDx + VD
"generar lista: Polinomio de grado 6, coeficiente principal -75/154, incompleto",SUM NEG MUL VN POW x 3 E NEG MUL FRAC 75 154 POW x 6 E E
generar pseudolatex: Polinomio de grado 4,VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR
"generar pseudolatex: Polinimio de grado 7, completo con coeficientes fraccionarios negativos. El orden de las potencias es ascendente",- VF - VFx - VFx^{2} - VFx^{3} - VFx^{4} - VFx^{5} - VFx^{6} - VFx^{7}
generar pseudolatex: Polinomio de grado 4 completo,- VDx^{4} + VDx^{3} - VDx^{2} + VDx - VD
generar lista: Sistema de ecuaciones de cuatro incógnitas y cuatro ecuaciones,CASES EQ SUM MUL VF c E MUL VF a E NEG MUL VF b E MUL VN d E E 0 EQ SUM NEG MUL VN c E MUL VF a E MUL VF b E MUL VF d E E 0 EQ SUM MUL VF c E MUL VF a E NEG MUL VN b E MUL VN d E E 0 EQ SUM MUL VN c E MUL VN a E NEG MUL VN b E NEG MUL VF d E E 0 E
generar pseudolatex: Polinomio de grado seis completo,- VF - VFx - VFx^{2} - VFx^{3} - VFx^{4} - VFx^{5} - VFx^{6}
"generar pseudolatex: Sistema de dos ecuaciones, una con una variable y dos términos, y otra con tres variables y 4 terminos",\begin{cases} VF.x = VN \\VF.x + VN.z + VF.y = VF \end{cases}
